Region,Variety,Score
Pirque,Malbec-Syrah,
Pitsilia Mountains,Malbec-Tannat,
Pocerina,Malbec-Tempranillo,
Podunavlje,Malvar,
Polkadraai Hills,Malvasia,
Port,Malvasia Bianca,
Portugal,Malvasia Fina,
Portuguese Table Wine,Malvasia Istriana,
Primorska,Malvasia Nera,
Progreso,Malvasia di Candia,
Provence,Malvasia-Viura,
Puente Alto,Mandilaria,
Rapel Valley,Mansois,
Rapsani,Mantonico,
Recas,Manzoni,
Requinoa,Marawi,
Retsina,Maria Gomes,
Rheingau,Maria Gomes-Bical,
Rheinhessen,Marquette,
Rhode Island,Marsanne,
Rhône Valley,Marsanne-Roussanne,
Ribatejano,Marsanne-Viognier,
Ribatejo,Marselan,
Rio Claro,Marzemino,
Robertson,Mataro,
Romania,Maturana,
Sagrada Familia,Mauzac,
Samos,Mavrodaphne,
Samson,Mavrokalavryta,
San Antonio,Mavrotragano,
San Antonio de las Minas Valley,Mavroudi,
San Clemente,Mavrud,
San Jose,Mazuelo,
San Vicente,Melon,
Santa Catarina,Mencía,
Santa Cruz,Meritage,
Santorini,Merlot,
Sebes,Merlot-Argaman,
Serra Gaúcha,Merlot-Cabernet,
Serra do Sudeste,Merlot-Cabernet Franc,
Setubal,Merlot-Cabernet Sauvignon,
Shomron,Merlot-Grenache,
Sicily & Sardinia,Merlot-Malbec,
Simonsberg-Paarl,Merlot-Petite Verdot,
Simonsberg-Stellenbosch,Merlot-Shiraz,
Sithonia,Merlot-Syrah,
Slovenia,Merlot-Tannat,
Slovenska Istra,Merseguera-Sauvignon Blanc,
Sopron,Meseguera,
South Africa,Misket,
South Australia,Mission,
South Island,Molinara,
Southern Italy,Monastrell,
Southwest France,Monastrell-Petit Verdot,
Spain Other,Monastrell-Syrah,
Spanish Islands,Mondeuse,
Steiermark,Monica,
Stellenbosch,Montepulciano,
Sterea Ellada,Morava,
Swartland,Morillon,
Switzerland,Morio Muskat,
Szekszárd,Moscadello,
Südburgenland,Moscatel,
Südoststeiermark,Moscatel Graúdo,
Südsteiermark,Moscatel Roxo,
Table wine,Moscatel de Alejandría,
Tarnave,Moscato,
Tasmania,Moscato Giallo,
Tejo,Moscato Rosa,
Terras do Dão,Moscato di Noto,
Terras do Sado,Moschofilero,
Texas,Moschofilero-Chardonnay,
Thermenregion,Mourvèdre,
Thessalikos,Mourvèdre-Syrah,
Thrace,Mtsvane,
Thracian Valley,Muscadel,
Thraki,Muscadelle,
Ticino,Muscadine,
Tikves,Muscat,
Tokaj,Muscat Blanc,
Tokaji,Muscat Blanc à Petits Grains,
Traisental,Muscat Canelli,
Trás-os-Montes,Muscat Hamburg,
Tulbagh,Muscat d'Alexandrie,
Turkey,Muscat of Alexandria,
Tuscany,Muscatel,
Távora-Varosa,Muskat,
Ukraine,Muskat Ottonel,
Upper Galilee,Muskateller,
Urla-Thrace,Müller-Thurgau,
Uruguay,Narince,
Valais,Nascetta,
Vale Trentino,Nasco,
Vale dos Vinhedos,Nebbiolo,
Valle de Guadalupe,Negrette,
Veneto,Negroamaro,
Vermont,Nerello Cappuccio,
Victoria,Nerello Mascalese,
Vienna,Nero d'Avola,
Viile Timis,Nero di Troia,
Viile Timisului,Neuburger,
Villány,Nielluciu,
Vin de Pays de Velvendo,Norton,
Vinho Espumante,Nosiola,
Vinho Espumante de Qualidade,Nuragus,
Vinho Licoroso,Okuzgozu,
Vinho Verde,Ondenc,
Vinho da Mesa,Orange Muscat,
Vipavska Dolina,Orangetraube,
Virginia,Other,
Vlootenburg,Pallagrello,
Vânju Mare,Pallagrello Bianco,
Wachau,Pallagrello Nero,
Wagram,Palomino,
Wagram-Donauland,Pansa Blanca,
Waiheke Island,Papaskarasi,
Waipara,Paralleda,
Waipara Valley,Parraleta,
Wairarapa,Passerina,
Wairau Valley,País,
Waitaki Valley,Pecorino,
Walker Bay,Pedro Ximénez,
Washington,Perricone,
Washington-Oregon,Petit Courbu,
Weinland Österreich,Petit Manseng,
Weinviertel,Petit Meslier,
Wellington,Petit Verdot,
Western Australia,Petite Sirah,
Western Cape,Petite Verdot,
Wiener Gemischter Satz,Picapoll,
Württemberg,Picolit,
Zenata,Picpoul,
Österreichischer Perlwein,Piedirosso,
Österreichischer Sekt,Pigato,
Štajerska,Pignoletto,
Župa,Pignolo,
,Pinot Auxerrois,
,Pinot Bianco,
,Pinot Blanc,
,Pinot Blanc-Chardonnay,
,Pinot Blanc-Pinot Noir,
,Pinot Blanc-Viognier,
,Pinot Grigio,
,Pinot Grigio-Sauvignon Blanc,
,Pinot Gris,
,Pinot Gris-Gewürztraminer,
,Pinot Meunier,
,Pinot Nero,
,Pinot Noir,
,Pinot Noir-Gamay,
,Pinot Noir-Syrah,
,Pinot-Chardonnay,
,Pinotage,
,Pinotage-Merlot,
,Piquepoul Blanc,
,Plavac Mali,
,Plyto,
,Port,
,Portuguese Red,
,Portuguese Rosé,
,Portuguese Sparkling,
,Portuguese White,
,Portuguiser,
,Posip,
,Poulsard,
,Premsal,
,Prieto Picudo,
,Primitivo,
,Prié Blanc,
,Prosecco,
,Provence red blend,
,Provence white blend,
,Prugnolo Gentile,
,Prunelard,
,Pugnitello,
,Rabigato,
,Raboso,
,Ramisco,
,Rara Neagra,
,Rebo,
,Rebula,
,Red Blend,
,Refosco,
,Rhône-style Red Blend,
,Rhône-style White Blend,
,Ribolla Gialla,
,Rieslaner,
,Riesling,
,Riesling-Chardonnay,
,Rivaner,
,Rkatsiteli,
,Robola,
,Roditis,
,Roditis-Moschofilero,
,Rolle,
,Romorantin,
,Rosado,
,Rosato,
,Roscetto,
,Rosenmuskateller,
,Rosé,
,Roter Traminer,
,Roter Veltliner,
,Rotgipfler,
,Roussanne,
,Roussanne-Grenache Blanc,
,Roussanne-Marsanne,
,Roussanne-Viognier,
,Roviello,
,Ruché,
,Rufete,
,Ryzlink Rýnský,
,Sacy,
,Sagrantino,
,Sangiovese,
,Sangiovese Cabernet,
,Sangiovese Grosso,
,Sangiovese-Cabernet Sauvignon,
,Sangiovese-Syrah,
,Saperavi,
,Saperavi-Merlot,
,Sauvignon,
,Sauvignon Blanc,
,Sauvignon Blanc-Assyrtiko,
,Sauvignon Blanc-Chardonnay,
